id,text,group_label,department_label,created_at,text_clean
592,Требуется добавить новый хост в систему мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.073915,требоваться добавить новый хост система мониторинг
593,"Не опять печатается печатная форма в 1С, пустой документ",BusinessApps,1C,2026-04-20T20:50:48.073937,печататься печатный форма пустой документ
594,Не монтируется уже диск на сервере баз данных,Infrastructure,Servers,2026-04-20T20:50:48.073972,монтироваться диск сервер база данные
595,Падение службы nginx на производственном сервере,Infrastructure,Servers,2026-04-20T20:50:48.073992,падение служба nginx производственный сервер
596,всё ещё Превышен лимит на количество активных документов у пользователя,BusinessApps,DocumentFlow,2026-04-20T20:50:48.074012,всё ещё превысить лимит количество активный документ пользователь
597,Не работает экспорт данных из Photoshop в формат .pdf,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.074033,работать экспорт данные photoshop формат pdf
598,"Недоступен шлюз по адресу 10.0.27.169, проверка связи не проходит",Infrastructure,Network,2026-04-20T20:50:48.074051,недоступный шлюз адрес проверка связь проходить
599,Ложное срабатывание на внутренний разработанный модуль,Security,Antivirus,2026-04-20T20:50:48.074069,ложный срабатывание внутренний разработать модуль
600,"Не запускается специализированное ПО SolidWorks, ошибка Missing DLL",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.074089,запускаться специализировать solidworks ошибка missing dll
601,"Не запускается пожалуйста специализированное ПО SolidWorks, ошибка 0xc000007b",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.074111,запускаться пожалуйста специализировать solidworks ошибка xcb
602,Высокая загрузка CPU на сервере srv-web-4: 100% ,Infrastructure,Servers,2026-04-20T20:50:48.074131,высокий загрузка cpu сервер srvweb
603,"Не работает вход по смарт-карте, ошибка считывания",Security,AccessControl,2026-04-20T20:50:48.074147,работать вход смарткарта ошибка считывание
604,Требуется удалить старое ПО помогите перед установкой нового,Workplace,PCAdmin,2026-04-20T20:50:48.074167,требоваться удалить старое помочь установка новый
605,Ошибка подключения к базе 1С через COM-соединение,BusinessApps,1C,2026-04-20T20:50:48.074184,ошибка подключение база comсоединение
606,Расписание бэкапов сбилось опять после обновления,Infrastructure,Backup,2026-04-20T20:50:48.074203,расписание бэкап сбиться обновление
607,"Принтер не печатает, пожалуйста мигает красная лампочка",Workplace,Periphery,2026-04-20T20:50:48.074222,принтер печатать пожалуйста мигать красный лампочка
608,Конфликт версий CorelDRAW и системной библиотеки .NET Framework 4.8,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.074243,конфликт версия coreldraw системный библиотека net framework
609,"Не удаётся удалить карантинный файл, доступ уже запрещён",Security,Antivirus,2026-04-20T20:50:48.074262,удаваться удалить карантинный файл доступ запретить
610,Высокая загрузка CPU на сервере srv-db-1: 87% ,Infrastructure,Servers,2026-04-20T20:50:48.074281,высокий загрузка cpu сервер srvdb
611,Полное сканирование зависло срочно на файле конфиденциально.pdf,Security,Antivirus,2026-04-20T20:50:48.074303,полный сканирование зависнуть срочно файл конфиденциальноpdf
612,"Не открывается документ в СЭД, ошибка формата .pdf",BusinessApps,DocumentFlow,2026-04-20T20:50:48.074327,открываться документ сэд ошибка формат pdf
613,Проверка целостности помогите бэкапа завершилась с ошибкой,Infrastructure,Backup,2026-04-20T20:50:48.074346,проверка целостность помочь бэкап завершиться ошибка
614,Требуется настроить групповую политику для отдела Бухгалтерия,Workplace,PCAdmin,2026-04-20T20:50:48.074365,требоваться настроить групповой политика отдел бухгалтерия
615,Требуется установить ПО WinSCP на рабочую станцию,Workplace,PCAdmin,2026-04-20T20:50:48.074384,требоваться установить winscp рабочий станция
616,"Компьютер не входит в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.074401,компьютер входить домен ошибка errmsg
617,Сессия в Terminal помогите Server обрывается через 15 минут,Workplace,RemoteAccess,2026-04-20T20:50:48.074424,сессия terminal помочь server обрываться минута
618,Система мониторинга уже не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.074445,система мониторинг присылать алерот
619,Требуется настроить новое правило DLP для защиты исходный код опять,Security,DLP,2026-04-20T20:50:48.074466,требоваться настроить новый правило dlp защита исходный код
620,"Бэкап не завершился, статус: срочно Partial",Infrastructure,Backup,2026-04-20T20:50:48.074486,бэкап завершиться статус срочно partial
621,Не приходят уведомления о новых лидах из формы на сайте,BusinessApps,CRM,2026-04-20T20:50:48.074504,приходить уведомление новый лида форма сайт
622,Требуется настроить групповую политику для отдела Отдел продаж,Workplace,PCAdmin,2026-04-20T20:50:48.074522,требоваться настроить групповой политика отдел отдел продажа
623,Ошибка подключения к базе 1С через помогите COM-соединение,BusinessApps,1C,2026-04-20T20:50:48.074543,ошибка подключение база помочь comсоединение
624,Попытка несанкционированного копирования данных на USB,Security,DLP,2026-04-20T20:50:48.074560,попытка несанкционированный копирование данные usb
625,Дублируются записи в воронке продаж после импорта,BusinessApps,CRM,2026-04-20T20:50:48.074577,дублироваться запись воронка продажа импорт
626,"Пришло письмо с подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.074593,прийти письмо подозрительный ссылка возможно фишинга
627,"Принтер не печатает, опять мигает красная лампочка",Workplace,Periphery,2026-04-20T20:50:48.074612,принтер печатать мигать красный лампочка
628,Не отображается статус сервиса nginx в дашборде,Infrastructure,Monitoring,2026-04-20T20:50:48.074639,отображаться статус сервис nginx дашборд
629,Некорректно считается uptime сервиса Apache2.4,Infrastructure,Monitoring,2026-04-20T20:50:48.074671,некорректно считаться uptime сервис apache
630,"Антивирус грузит процессор на 100%, тормозит работу",Security,Antivirus,2026-04-20T20:50:48.074696,антивирус грузить процессор тормозить работа
631,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.074715,пропадать звук выход спать режим
632,Не отображается статус сервиса Apache2.4 в всё ещё дашборде,Infrastructure,Monitoring,2026-04-20T20:50:48.074750,отображаться статус сервис apache всё ещё дашборд
633,Ошибка в логах Event Log: Disk full,Infrastructure,Servers,2026-04-20T20:50:48.074777,ошибка лог event log disk full
634,Система мониторинга не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.074795,система мониторинг присылать алерот
635,Не отображаются сетевые диски в Проводнике,Workplace,OS,2026-04-20T20:50:48.074812,отображаться сетевой диск проводник
636,Конфликт лицензий при запуске помогите PuTTY,Workplace,PCAdmin,2026-04-20T20:50:48.074839,конфликт лицензия запуск помочь putty
637,Не отображаются сетевые диски в Проводнике,Workplace,OS,2026-04-20T20:50:48.074863,отображаться сетевой диск проводник
638,"Обрыв кабеля в серверной, нет связи срочно с филиал Москва",Infrastructure,Network,2026-04-20T20:50:48.074897,обрыв кабель серверный связь срочно филиал москва
639,"Не печатается печатная форма в 1С, пустой документ",BusinessApps,1C,2026-04-20T20:50:48.074918,печататься печатный форма пустой документ
640,"Не удаётся удалить карантинный файл, доступ запрещён",Security,Antivirus,2026-04-20T20:50:48.074941,удаваться удалить карантинный файл доступ запретить
641,Конфликт версий Photoshop и системной библиотеки .NET Framework 4.8,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.074978,конфликт версия photoshop системный библиотека net framework
642,"Медленный интернет, скорость всего 10 Мбит/с",Infrastructure,Network,2026-04-20T20:50:48.075002,медленный интернет скорость мбитс
643,"Принтер не печатает, мигает красная лампочка",Workplace,Periphery,2026-04-20T20:50:48.075019,принтер печатать мигать красный лампочка
644,Не работает автозапуск программ при старте системы,Workplace,OS,2026-04-20T20:50:48.075039,работать автозапуск программа старт система
645,1С зависает при формировании отчёта по остаткам пожалуйста,BusinessApps,1C,2026-04-20T20:50:48.075064,зависать формирование отчёт остаток пожалуйста
646,Не приходят уведомления о новых лидах из формы на сайте,BusinessApps,CRM,2026-04-20T20:50:48.075082,приходить уведомление новый лида форма сайт
647,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.075099,оповещение telegram приходить бот мониторинг
648,Ложное срабатывание на внутренний разработанный модуль,Security,Antivirus,2026-04-20T20:50:48.075117,ложный срабатывание внутренний разработать модуль
649,Пользователь пытается обойти DLP через архив с всё ещё паролем,Security,DLP,2026-04-20T20:50:48.075137,пользователь пытаться обойти dlp архив всё ещё пароль
650,Поле Стадия сделки не отображается в форме создания сделки,BusinessApps,CRM,2026-04-20T20:50:48.075156,поле стадия сделка отображаться форма создание сделка
651,Ошибка сертификата при подключении к VPN-шлюзу,Workplace,RemoteAccess,2026-04-20T20:50:48.075174,ошибка сертификат подключение vpnшлюз
652,пожалуйста Не обновляются базы антивируса уже третий дней,Security,Antivirus,2026-04-20T20:50:48.075195,пожалуйста обновляться база антивирус третий день
653,Маршрутизатор не срочно раздаёт IP-адреса по DHCP,Infrastructure,Network,2026-04-20T20:50:48.075215,маршрутизатор срочно раздавать ipадрес dhcp
654,Сервер srv-web-4 не отвечает на запросы,Infrastructure,Servers,2026-04-20T20:50:48.075233,сервер srvweb отвечать запрос
655,Не приходит уведомление о подписании документа,BusinessApps,DocumentFlow,2026-04-20T20:50:48.075251,приходить уведомление подписание документ
656,1С зависает при формировании отчёта по обороту,BusinessApps,1C,2026-04-20T20:50:48.075269,зависать формирование отчёт оборот
657,Не работает экспорт данных из SolidWorks в формат .pdf,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.075289,работать экспорт данные solidworks формат pdf
658,"Не пингуется сервер 10.0.126.175, вся сеть легла",Infrastructure,Network,2026-04-20T20:50:48.075307,пинговаться сервер весь сеть лечь
659,"Ошибка аутентификации в корпоративном опять портале, код AUTH_001",Security,AccessControl,2026-04-20T20:50:48.075328,ошибка аутентификация корпоративный портал код auth
660,"Сервер завис при обновлении, требуется перезагрузка",Infrastructure,Servers,2026-04-20T20:50:48.075346,сервер зависнуть обновление требоваться перезагрузка
661,Не применяется политика блокировки экрана через опять 10 мин,Security,AccessControl,2026-04-20T20:50:48.075368,применяться политика блокировка экран мина
662,Ошибка сертификата при подключении к VPN-шлюзу,Workplace,RemoteAccess,2026-04-20T20:50:48.075385,ошибка сертификат подключение vpnшлюз
663,Не подключается RDP к рабочему компьютеру,Workplace,RemoteAccess,2026-04-20T20:50:48.075401,подключаться rdp рабочий компьютер
664,"Антивирус грузит процессор на 90%, тормозит работу",Security,Antivirus,2026-04-20T20:50:48.075419,антивирус грузить процессор тормозить работа
665,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.075436,оповещение telegram приходить бот мониторинг
666,Ошибка проведения документа в 1С: Disk full,BusinessApps,1C,2026-04-20T20:50:48.075454,ошибка проведение документ disk full
667,Превышен лимит на количество активных документов у пользователя,BusinessApps,DocumentFlow,2026-04-20T20:50:48.075472,превысить лимит количество активный документ пользователь
668,"Компьютер не входит в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.075490,компьютер входить домен ошибка errmsg
669,Нужно добавить пожалуйста пользователя в локальную группу Remote Desktop Users,Workplace,PCAdmin,2026-04-20T20:50:48.075512,нужно добавить пожалуйста пользователь локальный группа remote desktop users
670,Сервер srv-db-1 не отвечает на запросы,Infrastructure,Servers,2026-04-20T20:50:48.075531,сервер srvdb отвечать запрос
671,Не восстанавливается файл из архива за месячной давности,Infrastructure,Backup,2026-04-20T20:50:48.075550,восстанавливаться файл архив месячный давность
672,Система мониторинга не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.075567,система мониторинг присылать алерот
673,Ложное всё ещё срабатывание на внутренний разработанный модуль,Security,Antivirus,2026-04-20T20:50:48.075587,ложный всё ещё срабатывание внутренний разработать модуль
674,Не отображаются сетевые диски в Проводнике пожалуйста,Workplace,OS,2026-04-20T20:50:48.075612,отображаться сетевой диск проводник пожалуйста
675,Ошибка подключения к базе 1С через COM-соединение,BusinessApps,1C,2026-04-20T20:50:48.075630,ошибка подключение база comсоединение
676,Требуется настроить плагин для MATLAB под задачу печать чертежей,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.075654,требоваться настроить плагин matlab задача печать чертёж
677,Учётная запись заблокирована помогите после 5 неудачных попыток,Security,AccessControl,2026-04-20T20:50:48.075676,учётный запись заблокировать помочь неудачный попытка
678,"Монитор не включается, индикатор не горит",Workplace,Periphery,2026-04-20T20:50:48.075694,монитор включаться индикатор гореть
679,Обнаружена угроза Trojan.Generic на рабочей станции WS-47,Security,Antivirus,2026-04-20T20:50:48.075714,обнаружить угроза trojangeneric рабочий станция
680,Отчёт в CRM формируется с неверными данными опять за выходные,BusinessApps,CRM,2026-04-20T20:50:48.075735,отчёт crm формироваться неверный данные выходной
681,Попытка несанкционированного копирования данных на USB помогите,Security,DLP,2026-04-20T20:50:48.075755,попытка несанкционированный копирование данные usb помочь
682,Расписание бэкапов сбилось после обновления,Infrastructure,Backup,2026-04-20T20:50:48.075772,расписание бэкап сбиться обновление
683,Не приходит уведомление о подписании документа,BusinessApps,DocumentFlow,2026-04-20T20:50:48.075790,приходить уведомление подписание документ
684,Требуется проверить логи DLP на предмет утечки по ключу уже паспортные данные,Security,DLP,2026-04-20T20:50:48.075816,требоваться проверить лог dlp предмет утечка ключ паспортный дать
685,"Сервер завис при обновлении, требуется перезагрузка",Infrastructure,Servers,2026-04-20T20:50:48.075836,сервер зависнуть обновление требоваться перезагрузка
686,Требуется восстановить удалённый файл из бэкапа,Infrastructure,Backup,2026-04-20T20:50:48.075853,требоваться восстановить удалённый файл бэкап
687,Требуется настроить групповую политику для отдела Разработка,Workplace,PCAdmin,2026-04-20T20:50:48.075872,требоваться настроить групповой политика отдел разработка
688,Не применяется политика паролей после изменения,Workplace,PCAdmin,2026-04-20T20:50:48.075889,применяться политика пароль изменение
689,Учётная запись заблокирована после 10 неудачных всё ещё попыток,Security,AccessControl,2026-04-20T20:50:48.075920,учётный запись заблокировать неудачный всё ещё попытка
690,Не приходит уведомление о подписании документа,BusinessApps,DocumentFlow,2026-04-20T20:50:48.075938,приходить уведомление подписание документ
691,Не обновляется конфигурация срочно 1С до версии 8.3.22,BusinessApps,1C,2026-04-20T20:50:48.075973,обновляться конфигурация срочно версия
692,"Не удаётся удалить карантинный файл, доступ запрещён",Security,Antivirus,2026-04-20T20:50:48.075992,удаваться удалить карантинный файл доступ запретить
693,"Медленный интернет, скорость всего 5 Мбит/с",Infrastructure,Network,2026-04-20T20:50:48.076010,медленный интернет скорость мбитс
694,Сессия в Terminal Server обрывается через срочно 10 минут,Workplace,RemoteAccess,2026-04-20T20:50:48.076032,сессия terminal server обрываться срочно минута
695,Система мониторинга не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.076050,система мониторинг присылать алерот
696,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.076067,оповещение telegram приходить бот мониторинг
697,"Бэкап не завершился, статус: Partial",Infrastructure,Backup,2026-04-20T20:50:48.076086,бэкап завершиться статус partial
698,"Забыл пароль от AD, нужно помогите сбросить срочно",Security,AccessControl,2026-04-20T20:50:48.076106,забыть пароль нужно помочь сбросить срочно
699,Требуется добавить новый хост в систему мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.076137,требоваться добавить новый хост система мониторинг
700,Ошибка в логах Event Log: Disk full,Infrastructure,Servers,2026-04-20T20:50:48.076157,ошибка лог event log disk full
701,Не монтируется диск на сервере баз данных,Infrastructure,Servers,2026-04-20T20:50:48.076174,монтироваться диск сервер база данные
702,Сервер srv-db-1 не отвечает на всё ещё запросы,Infrastructure,Servers,2026-04-20T20:50:48.076194,сервер srvdb отвечать всё ещё запрос
703,Высокая загрузка CPU на сервере srv-web-4: 100% ,Infrastructure,Servers,2026-04-20T20:50:48.076214,высокий загрузка cpu сервер srvweb
704,Токен для двухфакторной аутентификации не принимается,Workplace,RemoteAccess,2026-04-20T20:50:48.076232,токен двухфакторный аутентификация приниматься
705,Токен для двухфакторной аутентификации не принимается,Workplace,RemoteAccess,2026-04-20T20:50:48.076254,токен двухфакторный аутентификация приниматься
706,Не отображается история версий документа Приказ_47,BusinessApps,DocumentFlow,2026-04-20T20:50:48.076274,отображаться история версия документ приказ
707,Нужно выдать права локального администратора опять на PC-DEV-62,Workplace,PCAdmin,2026-04-20T20:50:48.076295,нужно выдать право локальный администратор pcdev
708,Не отображается статус сервиса Elasticsearch в уже дашборде,Infrastructure,Monitoring,2026-04-20T20:50:48.076320,отображаться статус сервис elasticsearch дашборд
709,"VPN не подключается к офису, пишет срочно ошибку 800",Infrastructure,Network,2026-04-20T20:50:48.076340,vpn подключаться офис писать срочно ошибка
710,Ошибка в задании бэкапа: Connection refused,Infrastructure,Backup,2026-04-20T20:50:48.076362,ошибка задание бэкап connection refused
711,Требуется выдать доступ к ресурсу GitLab для роли Аналитик,Security,AccessControl,2026-04-20T20:50:48.076383,требоваться выдать доступ ресурс gitlab роль аналитик
712,Некорректно сработало правило: легитимная операция заблокирована помогите,Security,DLP,2026-04-20T20:50:48.076404,некорректно сработать правило легитимный операция заблокировать помочь
713,"Пришло письмо с помогите подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.076423,прийти письмо помочь подозрительный ссылка возможно фишинга
714,Проблемы с подключением к сети в кабинете В-268 опять,Infrastructure,Network,2026-04-20T20:50:48.076444,проблема подключение сеть кабинет
715,Превышен лимит на количество активных документов у пользователя,BusinessApps,DocumentFlow,2026-04-20T20:50:48.076461,превысить лимит количество активный документ пользователь
716,Попытка несанкционированного копирования данных на USB срочно,Security,DLP,2026-04-20T20:50:48.076482,попытка несанкционированный копирование данные usb срочно
717,Не монтируется диск срочно на сервере баз данных,Infrastructure,Servers,2026-04-20T20:50:48.076513,монтироваться диск срочно сервер база данные
718,"Не пингуется сервер 10.0.248.234, вся сеть легла",Infrastructure,Network,2026-04-20T20:50:48.076545,пинговаться сервер весь сеть лечь
719,Нужно выдать права локального администратора на PC-DEV-10,Workplace,PCAdmin,2026-04-20T20:50:48.076572,нужно выдать право локальный администратор pcdev
720,Не могу подключиться к корпоративному порталу из дома,Workplace,RemoteAccess,2026-04-20T20:50:48.076589,мочь подключиться корпоративный портал дом
721,Маршрут согласования документа DOC-43199 завис уже на этапе Согласование,BusinessApps,DocumentFlow,2026-04-20T20:50:48.076615,маршрут согласование документ doc зависнуть этап согласование
722,"Компьютер не входит срочно в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.076638,компьютер входить срочно домен ошибка errmsg
723,Проверка целостности всё ещё бэкапа завершилась с ошибкой,Infrastructure,Backup,2026-04-20T20:50:48.076660,проверка целостность всё ещё бэкап завершиться ошибка
724,Не восстанавливается уже файл из архива за вчера,Infrastructure,Backup,2026-04-20T20:50:48.076688,восстанавливаться файл архив вчера
725,Не обновляются базы антивируса уже неделю дней,Security,Antivirus,2026-04-20T20:50:48.076713,обновляться база антивирус неделя день
726,"Не открывается документ в срочно СЭД, ошибка формата .pdf",BusinessApps,DocumentFlow,2026-04-20T20:50:48.076740,открываться документ срочно сэд ошибка формат pdf
727,"Принтер не печатает, мигает красная лампочка",Workplace,Periphery,2026-04-20T20:50:48.076759,принтер печатать мигать красный лампочка
728,Не приходят уведомления о новых лидах из формы на сайте,BusinessApps,CRM,2026-04-20T20:50:48.076777,приходить уведомление новый лида форма сайт
729,Поле Дата закрытия не отображается в форме создания сделки,BusinessApps,CRM,2026-04-20T20:50:48.076796,поле дата закрытие отображаться форма создание сделка
730,Не монтируется диск на сервере баз данных,Infrastructure,Servers,2026-04-20T20:50:48.076813,монтироваться диск сервер база данные
731,"Пользователь уволен, нужно отозвать все доступы",Security,AccessControl,2026-04-20T20:50:48.076830,пользователь уволить нужно отозвать доступ
732,Требуется создать новую учётную запись для сотрудника Петрова А.С. всё ещё,Security,AccessControl,2026-04-20T20:50:48.076853,требоваться создать новый учётный запись сотрудник петров всё ещё
733,Некорректно считается uptime пожалуйста сервиса Apache2.4,Infrastructure,Monitoring,2026-04-20T20:50:48.076874,некорректно считаться uptime пожалуйста сервис apache
734,Не подключается RDP к рабочему компьютеру срочно,Workplace,RemoteAccess,2026-04-20T20:50:48.076918,подключаться rdp рабочий компьютер срочно
735,Система срочно мониторинга не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.076961,система срочно мониторинг присылать алерот
736,Учётная запись заблокирована после 10 неудачных попыток,Security,AccessControl,2026-04-20T20:50:48.076988,учётный запись заблокировать неудачный попытка
737,"Медленный интернет, скорость всего 1.2 Мбит/с",Infrastructure,Network,2026-04-20T20:50:48.077033,медленный интернет скорость мбитс
738,Требуется удалить старое ПО перед установкой нового,Workplace,PCAdmin,2026-04-20T20:50:48.077056,требоваться удалить старое установка новый
739,Не применяется политика паролей после изменения,Workplace,PCAdmin,2026-04-20T20:50:48.077080,применяться политика пароль изменение
740,Зависает проводник при открытии папки Загрузки,Workplace,OS,2026-04-20T20:50:48.077102,зависать проводник открытие папка загрузка
741,"Не могу зайти в CRM, пишет доступ запрещён",BusinessApps,CRM,2026-04-20T20:50:48.077120,мочь зайти crm писать доступ запретить
742,Ошибка в логах Event Log: Access denied,Infrastructure,Servers,2026-04-20T20:50:48.077157,ошибка лог event log access denied
743,Не восстанавливается уже файл из архива за месячной давности,Infrastructure,Backup,2026-04-20T20:50:48.077189,восстанавливаться файл архив месячный давность
744,Маршрутизатор не раздаёт IP-адреса по DHCP,Infrastructure,Network,2026-04-20T20:50:48.077212,маршрутизатор раздавать ipадрес dhcp
745,Обновление SolidWorks сломало существующий функционал пакетная обработка,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.077240,обновление solidworks сломать существующий функционал пакетный обработка
746,Не сохраняются опять изменения в карточке клиента CL-4153,BusinessApps,CRM,2026-04-20T20:50:48.077271,сохраняться изменение карточка клиент
747,Ошибка в логах Event Log: Access denied,Infrastructure,Servers,2026-04-20T20:50:48.077295,ошибка лог event log access denied
748,Не сохраняются изменения в карточке клиента CL-5546,BusinessApps,CRM,2026-04-20T20:50:48.077317,сохраняться изменение карточка клиент
749,Не работает резервное копирование баз данных уже третий день,Infrastructure,Backup,2026-04-20T20:50:48.077341,работать резервный копирование база данные третий день
750,"Компьютер не входит в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.077364,компьютер входить домен ошибка errmsg
751,Не работает резервное копирование баз данных уже неделю день,Infrastructure,Backup,2026-04-20T20:50:48.077387,работать резервный копирование база данные неделя день
752,Превышен лимит дискового пространства на /var/log,Infrastructure,Servers,2026-04-20T20:50:48.077411,превысить лимит дисковый пространство varlog
753,"Не открывается документ уже в СЭД, ошибка формата .xml",BusinessApps,DocumentFlow,2026-04-20T20:50:48.077439,открываться документ сэд ошибка формат xml
754,Конфликт версий SolidWorks и системной библиотеки .NET Framework 4.8,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.077465,конфликт версия solidworks системный библиотека net framework
755,Не сохраняются изменения в карточке клиента CL-9703,BusinessApps,CRM,2026-04-20T20:50:48.077488,сохраняться изменение карточка клиент
756,Ошибка подключения к базе 1С через COM-соединение уже,BusinessApps,1C,2026-04-20T20:50:48.077514,ошибка подключение база comсоединение
757,Не приходит уведомление о подписании документа,BusinessApps,DocumentFlow,2026-04-20T20:50:48.077536,приходить уведомление подписание документ
758,"Компьютер не входит в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.077558,компьютер входить домен ошибка errmsg
759,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.077581,пропадать звук выход спать режим
760,Windows не загружается после пожалуйста обновления,Workplace,OS,2026-04-20T20:50:48.077606,windows загружаться пожалуйста обновление
761,Не применяется политика пожалуйста блокировки экрана через 15 мин,Security,AccessControl,2026-04-20T20:50:48.077636,применяться политика пожалуйста блокировка экран мина
762,"Забыл опять пароль от AD, нужно сбросить срочно",Security,AccessControl,2026-04-20T20:50:48.077664,забыть пароль нужно сбросить срочно
763,"Пользователь уволен, нужно отозвать все доступы",Security,AccessControl,2026-04-20T20:50:48.077686,пользователь уволить нужно отозвать доступ
764,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.077707,пропадать звук выход спать режим
765,"Антивирус грузит процессор на опять 100%, тормозит работу",Security,Antivirus,2026-04-20T20:50:48.077735,антивирус грузить процессор тормозить работа
766,"Пользователь уволен, нужно отозвать все доступы",Security,AccessControl,2026-04-20T20:50:48.077756,пользователь уволить нужно отозвать доступ
767,Графики в Zabbix не обновляются уже пожалуйста 24 часов,Infrastructure,Monitoring,2026-04-20T20:50:48.077783,графика zabbix обновляться пожалуйста час
768,пожалуйста Зависает проводник при открытии папки Сетевое окружение,Workplace,OS,2026-04-20T20:50:48.077830,пожалуйста зависать проводник открытие папка сетевой окружение
769,"опять Бэкап не завершился, статус: Timeout",Infrastructure,Backup,2026-04-20T20:50:48.077857,бэкап завершиться статус timeout
770,"помогите Не сохраняется проект в AutoCAD, ошибка доступа к диску",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.077886,помочь сохраняться проект autocad ошибка доступ диск
771,Зависает проводник при открытии папки Сетевое окружение,Workplace,OS,2026-04-20T20:50:48.077915,зависать проводник открытие папка сетевой окружение
772,Ошибка в задании бэкапа: Access denied,Infrastructure,Backup,2026-04-20T20:50:48.077939,ошибка задание бэкап access denied
773,Не обновляются базы антивируса уже неделю дней,Security,Antivirus,2026-04-20T20:50:48.078006,обновляться база антивирус неделя день
774,Полное сканирование зависло на файле опять отчёт_финансы.xlsx,Security,Antivirus,2026-04-20T20:50:48.078038,полный сканирование зависнуть файл отчётфинансыxlsx
775,"Не работает интеграция CRM с телефонией, звонки не логируются",BusinessApps,CRM,2026-04-20T20:50:48.078061,работать интеграция crm телефония звонок логироваться
776,Учётная запись заблокирована после 10 неудачных попыток,Security,AccessControl,2026-04-20T20:50:48.078086,учётный запись заблокировать неудачный попытка
777,опять Не применяется политика паролей после изменения,Workplace,PCAdmin,2026-04-20T20:50:48.078112,применяться политика пароль изменение
778,Пользователь пытается обойти DLP через архив с паролем срочно,Security,DLP,2026-04-20T20:50:48.078140,пользователь пытаться обойти dlp архив пароль срочно
779,Требуется добавить новый хост в систему мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.078161,требоваться добавить новый хост система мониторинг
780,Ошибка в логах Event Log: Connection refused,Infrastructure,Servers,2026-04-20T20:50:48.078186,ошибка лог event log connection refused
781,Ошибка цифровой подписи при отправке помогите документа контрагенту,BusinessApps,DocumentFlow,2026-04-20T20:50:48.078214,ошибка цифровой подпись отправка помочь документ контрагент
782,Требуется настроить плагин для CorelDRAW под задачу рендеринг,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.078238,требоваться настроить плагин coreldraw задача рендеринг
783,"Компьютер не помогите входит в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.078259,компьютер помочь входить домен ошибка errmsg
784,Не запускается виртуальная машина vm-test-5,Infrastructure,Servers,2026-04-20T20:50:48.078279,запускаться виртуальный машина vmtest
785,Ошибка в срочно задании бэкапа: NullReferenceException,Infrastructure,Backup,2026-04-20T20:50:48.078300,ошибка срочно задание бэкап nullreferenceexception
786,Citrix вылетает при запуске приложения Photoshop,Workplace,RemoteAccess,2026-04-20T20:50:48.078319,citrix вылетать запуск приложение photoshop
787,Маршрутизатор не раздаёт IP-адреса помогите по DHCP,Infrastructure,Network,2026-04-20T20:50:48.078338,маршрутизатор раздавать ipадрес помочь dhcp
788,Не работает поиск по реквизитам в системе документооборота,BusinessApps,DocumentFlow,2026-04-20T20:50:48.078356,работать поиск реквизит система документооборот
